num position 0
curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601888, 214.121416104126, 100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601966, 19.921990168762207, 1100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600009, 55.90558771095276, 400, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH603899, 54.155416526031495, 400, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601816, 4.820481694793701, 4400, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601111, 10.461046038150787, 2100, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601628, 36.583659831237796, 600, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600887, 30.623062839317324, 700, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ000069, 5.480548495960235, 4000, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH603288, 77.51775313644409, 300, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600600, 106.74066872711181, 200, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ002475, 29.502951907539366, 700, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ300347, 105.90058075942993, 200, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600000, 7.28072820982933, 3000, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600406, 24.84248606014252, 900, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SZ000786, 26.022602457809448, 900, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600029, 7.490749247980117, 2800, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601225, 18.601860381507873, 1200, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600941, 71.88719288330078, 300, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH600115, 5.370536885547638, 3900, 创建时间 2023-01-04 10:00:00
2023-01-04, 买单执行,2023-01-04 10:05:00, SH601398, 4.340000152587891, 4900, 创建时间 2023-01-04 10:00:00
