curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601021, 62.23621872711182, 400, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601888, 213.34133932495118, 100, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601966, 19.901989618492127, 1100, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600009, 55.805575421905516, 400, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH603899, 54.4054415260315, 400, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ000858, 177.86779110412598, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002415, 33.6833683052063, 700, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002304, 157.45574644165038, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600132, 123.0823066947937, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601816, 4.830482923698425, 4700, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601100, 63.406341526031504, 400, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH600763, 148.23480796051024, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601111, 10.431043305206298, 2200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH603833, 121.18212279891968, 200, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SH601628, 36.69366762657165, 600, 创建时间 2023-01-04 09:55:00
2023-01-04, 买单执行,2023-01-04 10:00:00, SZ002032, 50.01000213623047, 500, 创建时间 2023-01-04 09:55:00
